Instrument,Latitude,Longitude,ocean,year,month,Group_index,PFT,Selection,Min_size,Max_size,Average_size,Slope,Slope_sd,Total_abundance,Max_abundance,Intercept_ref,Intercept_ref_sd,Intercept,Intercept_sd,R2,Absolute_intercept,Date_bin,Month,Conductivity,Salinity,Oxygen,AOU,MLD,Phosphates,Silicates,Temperature,Nitrates,SLA,CHL,Iron,PAR,Aerosol_thickness,DUWT001,PSD_slope,Picophytoplankton,Nanophytoplankton,Microphytoplankton,FSLE,theta_max
Scanner,-27.5,40.5,Indian Ocean,2013,7.0,108,Crustaceans,"[False, False, False, False, True, True, True, True, True, True, True, False, False, False, False, False, False, False, False, False, False, False, False, False]",455.9298191608002,1827.9770239256288,640.4411566677276,-0.9376662733111356,0.0813415943150966,313.3708706480992,105.666692430167,0.9808532131632398,0.0588807672126602,2.203858258914749,0.183065526360469,0.963737516816478,159.90360645869026,2013-07,July,5.100287,35.335213,224.61856,-7.3192415,62.30861,178.7249,2899.6619,22.1312,215.61258,-0.2243875,0.2534802,0.00029597717,29.14225,0.065759026,3.8059757e-13,4.028125,0.5396191,0.38472492,0.075655974,-0.17747574,5.8610935
Scanner,-27.5,45.5,Indian Ocean,2016,11.0,174,Crustaceans,"[False, False, False, False, True, True, True, True, True, True, True, True, False, False, False, False, False, False, False, False, False, False, False, False]",455.9298191608002,2299.7825984209894,650.4298752610924,-0.8280940647307737,0.0472797066437206,387.2802204279648,139.02521590524088,1.142244082467044,0.0347209361875864,2.222333287282199,0.1209870281827055,0.9808164406522728,166.85271863651525,2016-11,November,5.231882,35.3208,225.96785,-7.4085274,43.806,177.71234,4535.162,23.48469,185.03464,-0.04691250000000001,0.13599819,0.0012048244,55.343983,0.105125695,3.833783e-13,4.7777777,0.81675303,0.17496529,0.008281682,-0.11989412,23.769312
Scanner,-27.5,46.5,Indian Ocean,2016,11.0,175,Crustaceans,"[False, False, False, False, True, True, True, True, True, True, True, True, True, True, True, False, False, False, False, False, False, False, False, False]",455.9298191608002,4599.565196841983,647.1986407278248,-1.015626587393076,0.028910140042505,398.3829435870422,160.8774675426889,1.0381054379983017,0.0281443873148096,2.362794697210849,0.1003831012385199,0.9927603230232463,230.56569844194613,2016-11,November,5.222033,35.3103,226.68088,-7.7952366,42.43157,176.94829,4271.4697,23.314,193.19125,0.0615875,0.108647965,0.0014019761,52.6539,0.09690764,2.8743013e-13,4.9624133,0.8590297,0.13678712,0.0041831746,-0.1465305,-17.70201
Scanner,-27.5,47.5,Indian Ocean,2016,11.0,176,Crustaceans,"[False, False, False, False, True, True, True, True, True, True, True, True, True, False, False, False, False, False, False, False, False, False, False, False]",455.9298191608002,2895.6864471140507,604.0336770417562,-1.1266585755984204,0.0569716381017806,144.5368654565427,64.5479328362286,0.4461005272857941,0.0446734335320191,1.91560962878129,0.1925987101612058,0.9824156598169198,82.33976606299711,2016-11,November,5.2088614,35.31099,226.43443,-8.0,40.43053,171.37132,3999.6055,23.09101,181.36359,0.08288125000000002,0.084816486,0.0010920066,52.742336,0.08349306,3.144104e-13,5.0481772,0.8749183,0.122012466,0.0030692527,-0.16822813,-18.94138
Scanner,-26.5,40.5,Indian Ocean,2013,7.0,109,Crustaceans,"[False, False, False, False, False, True, True, True, True, True, True, True, False, False, False, False, False, False, False, False, False, False, False, False]",574.6651198741748,2299.7825984209894,803.727184318915,-0.894206059794306,0.0465928364770497,774.5489088321459,302.7229603812694,1.6823688287610286,0.0284680265569952,2.5790400932941586,0.0896039228253374,0.9866070179168488,379.35000427490223,2013-07,July,5.1323256,35.30151,221.37366,-5.587382,62.05373,170.3887,3083.1638,22.470291,105.05858,-0.07504375,0.21259362,0.00018930907,30.675013,0.071356244,3.6780895e-13,3.8860242,0.47248814,0.42806822,0.09944367,-0.15331994,12.228689
Scanner,-26.5,41.5,Indian Ocean,2013,7.0,110,Crustaceans,"[False, False, False, False, True, True, True, True, True, True, True, True, True, False, False, False, False, False, False, False, False, False, False, False]",455.9298191608002,2895.6864471140507,673.5134124452587,-0.8977238659850766,0.0452208084229966,835.4706713082653,286.1271338481547,1.4572739989756656,0.0354592012211383,2.628181867842769,0.1114254986043868,0.9825480902711912,424.7974174975391,2013-07,July,5.1399684,35.257,220.48491,-4.6477947,60.269867,179.7757,3403.5283,22.50721,125.68768,0.0035375000000000016,0.20964015,0.00018317103,30.608847,0.06883124,2.9553007e-13,3.9514756,0.5059257,0.40935326,0.08472102,-0.1559476,33.578102
Scanner,-26.5,42.5,Indian Ocean,2013,7.0,111,Crustaceans,"[False, False, False, False, True, True, True, True, True, True, True, True, True, False, False, False, False, False, False, False, False, False, False, False]",455.9298191608002,2895.6864471140507,651.262594538673,-0.998736186609723,0.0821727695050305,617.7027493560861,221.2879670745809,1.2434635428845922,0.0644345130127155,2.5461225276052777,0.209001933463577,0.9547576192487912,351.6596403518191,2013-07,July,5.1537113,35.20409,219.11076,-3.6728215,58.591858,182.78885,3367.8635,22.58971,134.82678,0.04804375000000001,0.24261265,0.0002783599,30.817915,0.059151392,2.3012256e-13,3.8834202,0.47140303,0.4293438,0.099253155,-0.124396734,7.5615
Scanner,-26.5,46.5,Indian Ocean,2016,11.0,177,Crustaceans,"[False, False, False, False, True, True, True, True, True, True, True, True, True, False, False, False, False, False, False, False, False, False, False, False]",455.9298191608002,2895.6864471140507,643.2612523213577,-1.086180536367234,0.0825327193911309,406.9479161742261,167.45841224285851,1.0064801029530908,0.0647167621782185,2.4231933989142207,0.2205666040126862,0.9611546027094467,264.9679824600875,2016-11,November,5.2833676,35.234413,224.5825,-8.0,43.64741,163.30428,4914.197,24.069891,246.16486,0.08820833333333333,0.4893526,0.002287442,50.891327,0.10014746,5.8481415e-13,4.7434897,0.80091244,0.18759798,0.011489605,-0.15025452,-17.707945
Scanner,-25.5,46.5,Indian Ocean,2016,11.0,178,Crustaceans,"[False, False, False, False, True, True, True, True, True, True, True, True, True, True, True, False, False, False, False, False, False, False, False, False]",455.9298191608002,4599.565196841983,616.8305870660328,-1.0613633196801204,0.0591558098787169,554.9088660481817,252.5937645726512,1.106987268261019,0.0575889297907251,2.4913312852006597,0.1948059975364471,0.9728022037978756,309.9782950352815,2016-11,November,,,,,,,,,,,,,49.758522,,1.0719915e-12,4.0801244,0.5685619,0.36683503,0.0646031,-0.087157845,-0.8526768
Scanner,-24.5,2.5,South Atlantic Ocean,2010,9.0,48,Crustaceans,"[False, False, False, False, False, False, True, True, True, True, True, True, True, True, True, True, True, True, False, False, False, False, False, False]",724.1443226318906,9184.60668727845,1043.418454140737,-0.9664026085579064,0.0318356804917013,109.53536499890076,45.2382501211403,1.0946597367884314,0.0449083543817568,1.7726162809302897,0.1639224911955528,0.9892644453199692,59.24016792603149,2010-09,September,4.7067413,35.78429,240.95267,-8.0,124.96553,368.91565,3580.7615,18.1659,2164.4404,0.016337499999999998,0.17927247,0.0007383784,41.08422,0.12281874,1.055412e-12,4.5377603,0.75171024,0.23175617,0.016533572,-0.039250556,10.389296
